LAU,commune,pop_total_2021,pop_0_14,pop_15_64,pop_65p,share_65p,old_dep_ratio,youth_dep_ratio,share_foreign_citizenship,share_foreign_born,share_never_married,share_divorced,share_widowed,share_not_in_family_nucleus,share_private_household,share_institutional,LAU_trim
LU0001108,Wormeldange,6110,946,4112,1052,17.217675941080195,25.583657587548636,23.005836575875485,39.83633387888707,42.84779050736498,,,,17.217675941080195,99.57446808510639,0.425531914893617,01108
LU0000403,Helperknapp,9328,1784,6344,1200,12.864493996569468,18.915510718789406,28.121059268600252,27.4442538593482,30.23156089193825,,,,15.222984562607204,98.26329331046311,1.7367066895368783,00403
LU0000402,Bissen,6630,1082,4654,894,13.484162895927602,19.20928233777396,23.24881822088526,35.444947209653094,38.853695324283564,,,,17.22473604826546,100.0,0.0,00402
LU0000207,Leudelange,5408,900,3668,840,15.532544378698224,22.900763358778626,24.53653217011996,40.90236686390533,44.04585798816568,,,,19.45266272189349,100.0,0.0,00207
LU0000602,Bourscheid,3372,560,2400,412,12.218268090154211,17.166666666666668,23.333333333333332,32.38434163701068,33.985765124555165,,,,22.064056939501782,97.98339264531435,2.0166073546856467,00602
LU0000609,Schieren,4226,696,2938,592,14.008518693800283,20.149761742682095,23.689584751531655,37.5769048745859,37.24562233790819,,,,20.918125887363935,99.52673923331756,0.473260766682442,00609
LU0000101,Dippach,8984,1300,6248,1436,15.983971504897596,22.98335467349552,20.806658130601793,36.19768477292965,40.91718610863758,,,,17.67586821015138,99.84416740872662,0.1558325912733749,00101
LU0000304,Luxembourg,256194,33192,192338,30664,11.969054700734599,15.942767419854631,17.257120277844212,70.57073936157755,72.62855492322224,,,,31.082695145085363,98.01244369501238,1.9024645385918484,00304
LU0000705,Grosbous,4346,822,2956,568,13.069489185457892,19.215155615696887,27.80784844384303,22.477876106194692,23.716814159292035,,,,13.628318584070797,100.0,0.0,00711
LU0001201,Bous,5940,1060,4066,814,13.703703703703704,20.01967535661584,26.06984751598623,28.209658421672557,29.917550058892818,,,,17.84452296819788,100.0,0.0,01209
